Result,Parent 1, Parent 2
RayGigas,Any Water,Any Bird
RogueWave,Any Water,JewelBag
RushFish,Angleron,Any Dragon
RushFish,Angleron,Droll
RushFish,Angleron,GulpBeast
Scallopa,RogueWave,Any Devil
Scallopa,RogueWave,Mimic
SeaHorse,Petiteel,Any Devil
SeaHorse,Petiteel,Any Dragon
Starfish,HoodSquid,Any Slime
Starfish,KingSquid,Any Slime
Starfish,Octogon,Any Slime
Starfish,OctoReach,Any Slime
WalrusMan,Any Water,Any Beast
WhaleMage,HoodSquid,1EyeClown
WhaleMage,HoodSquid,Reaper
WhaleMage,HoodSquid,RushFish
Boneslave,DeadNite,FloraMan
Boneslave,DeadNite,Gremlin
Boneslave,DeadNite,HornBeet
Boneslave,DeadNite,LandOwl
Boneslave,DeadNite,MadGoose
Boneslave,Mummy,RockSlime
Boneslave,DeadNite,SlimeBorg
Captdead,BoneSlave,Any Water
Captdead,NiteWhip,Moray
Copycat,-----,-----
Darkcrab,Any Zombie,Any Bug
Darkcrab,Any Zombie,CancerMan
Darkcrab,Any Zombie,Clawster
Darkcrab,Any Zombie,Gamanian
Deadnite,Any Zombie,Any Devil
Deadnoble,BoneSlave,ArcDemon
Deadnoble,MadSpirit,ArcDemon
Deadnoble,CaptDead,CopyCat
Deadnoble,DeadNite,CopyCat
Deadnoble,Skullgon,CopyCat
Deadnoble,DeadNite,DeadNite
Deadnoble,MadSpirit,GateGuard
Deadnoble,Skeletor,GateGuard
Deadnoble,MadSpirit,Lionex
Deadnoble,Mudron,Lionex
Deadnoble,CaptDead,MetalDrak
Deadnoble,MadSpirit,MetalDrak
Deadnoble,CaptDead,Roboster
Deadnoble,MadSpirit,Roboster
Deadnoble,MadSpirit,Roboster2
Foxfire,NiteWhip,Any Beast
Foxfire,PutrePup,MistyWing
Hork,Spooky,Any Beast
Inverzon,Hork,Hork
Lazamanus,WhiteKing,DracoLord1
Madspirit,BoneSlave,Any Bird
Madspirit,DeadNite,Any Bird
Madspirit,DeadNoble,Any Bird
Madspirit,Mudron,Any Bird
Madspirit,PomPomBom,Any Bird
Madspirit,Skeletor,Any Bird
Madspirit,Skullgon,Any Bird
Madspirit,Any Zombie,Any Dragon
Mudron,Any Zombie,BoxSlime
Mudron,Any Zombie,DanceVegi
Mudron,Any Zombie,Droll
Mudron,Any Zombie,FangSlime
Mudron,Any Zombie,FunkyBird
Mudron,Any Zombie,GiantSlug
Mudron,Any Zombie,Lipsy
Mudron,Any Zombie,MadPlant
Mudron,Any Zombie,Tonguella
Mudron,Any Zombie,Yeti
Mummy,Any Zombie,Any Plant
Niterich,DeadNoble,Octoraid
Niterich,Skeletor,Roboster2
Niterich,Skeletor,Serpentia
Nitewhip,DarkCrab,Any Devil
Nitewhip,MadSpirit,Any Devil
Nitewhip,Any Zombie,MistyWing
Pompombom,FoxFire,Any Beast
Pompombom,Copycat,Droll
Pompombom,Copycat,Gasgon
Putrepup,Any Zombie,Any Beast
Reaper,Hork,Any Devil
Reaper,Spooky,Any Devil
Reaper,Any Zombie,WeedBug
Rotraven,Any Zombie,Any Bird
Servant,WhiteKing,Any Devil
Servant,Skeletor,Skeletor
Shadow,Any Zombie,Any Material
Skeletor,MadSpirit,Any Dragon
Skeletor,BoneSlave,BoneSlave
Skeletor,CaptDead,EvilBeast
Skeletor,CaptDead,Golem
Skeletor,DeadNite,Grizzly
Skeletor,Mummy,GulpBeast
Skeletor,Hork,MadCat
Skeletor,CaptDead,MadCondor
Skeletor,Mudron,MadRaven
Skeletor,CaptDead,Ogre
Skeletor,CaptDead,StoneMan
Skullgon,BoneSlave,Any Dragon
Skullgon,DeadNoble,Any Dragon
Skullgon,Skeletor,Any Dragon
Skullgon,Skullgon,Any Dragon
Skullgon,Skulpent,Any Dragon
Skullgon,WhiteKing,Any Dragon
Skullgon,Any Zombie,Andreal
Skullgon,Any Zombie,BattleRex
Skullgon,Any Zombie,Divinegon
Skullgon,Any Zombie,GreatDrak
Skullgon,Any Zombie,Orochi
Skullgon,Any Zombie,Rayburn
Skullgon,Any Zombie,Swordgon
Skulpent,Any Zombie,Any Water
Spooky,Any Zombie,Any Slime
Whiteking,Any Zombie,Any Boss
Whiteking,Niterich,Andreal
Whiteking,Niterich,Blizzardy
Whiteking,Skeletor,GoldGolem
Whiteking,Niterich,Grakos
Whiteking,Niterich,GreatDrak
Whiteking,Niterich,KingLeo
Whiteking,Skullgon,KingSlime
Whiteking,BoneSlave,MetalKing
Whiteking,DeadNoble,SpotKing
Whiteking,Niterich,WhaleMage
Whiteking,Niterich,WhipBird
Whiteking,Niterich,ZapBird
Windmerge,RotRaven,Any Bird
Windmerge,Any Zombie,WindBeast
